"","plantID","Plot","yearT","sizeT","pflowerT","fertilityT","survival","sizeT1"
"145","T1.AD22","T1",2005,10.4432413787189,1,6,1,10.143361084137
"146","T1.AD23","T1",2005,12.1582486572046,1,31,1,12.2968648065472
"147","T1.AD27","T1",2005,11.6461950542544,1,25,1,11.096316887876
"148","T1.AD28","T1",2005,11.292652703834,1,5,1,11.1955269133002
"149","T1.AD29","T1",2005,11.8790483163082,1,27,1,12.9038871389705
"150","T1.AD3","T1",2005,11.2101015310003,1,13,1,11.2852375960351
"151","T1.AD4","T1",2005,11.5966320360883,1,18,1,11.8984364744102
"152","T1.AD6","T1",2005,11.4847450719455,1,1,1,11.8158921459309
"153","T1.AD8","T1",2005,12.595392904125,1,21,1,12.5530008358846
"154","T1.AD9","T1",2005,10.8260265581361,1,6,1,11.2169408820983
"155","T1.LJ11","T1",2005,9.74335712426986,0,NA,1,7.32198219772782
"156","T1.LJ12","T1",2005,10.8737201916871,0,NA,1,10.6991326637135
"157","T1.LJ13","T1",2005,9.71906320390134,0,NA,1,9.63329638214392
"158","T1.LJ14","T1",2005,9.93139662616245,1,1,1,9.62241098833322
"159","T1.LJ15","T1",2005,8.47992917965848,0,NA,1,4.92322149865302
"160","T1.LJ16","T1",2005,11.1136052081844,0,NA,1,11.279391161395
"161","T1.LJ17","T1",2005,9.41961794314232,0,NA,1,9.59916075552932
"162","T1.LJ3","T1",2005,9.28623519414497,0,NA,1,9.51412371284341
"163","T1.LJ8","T1",2005,9.52403936990225,0,NA,1,9.15939625631434
"164","T1.LJ9","T1",2005,10.4789678944818,0,NA,1,10.6120643595149
"165","T1.SJ11","T1",2005,8.58352999577892,0,NA,1,8.45282605542226
"166","T1.SJ13","T1",2005,7.12614409710388,0,NA,1,7.29918981143531
"167","T1.SJ17","T1",2005,6.62067028840984,0,NA,1,5.81443859297506
"168","T1.SJ2","T1",2005,8.37239238457805,0,NA,1,8.2177877164559
"169","T1.SJ20","T1",2005,7.31106643559789,0,NA,1,6.3459855395543
"170","T1.SJ3","T1",2005,9.05415816964785,0,NA,1,8.74047322666191
"171","T1.SJ4","T1",2005,9.47050527478392,0,NA,1,9.7490750693685
"172","T1.SJ5","T1",2005,6.94571468846197,0,NA,1,6.76377113205051
"173","T1.SJ7","T1",2005,8.42731922938618,0,NA,1,8.47949430250442
"174","T1.SJ9","T1",2005,3.86520260695017,0,NA,1,3.73499705129523
"175","T2.AD1","T2",2005,12.2566191705155,1,20,1,12.0043296644464
"176","T2.AD11","T2",2005,10.8254904669565,1,1,1,10.9567598278967
"177","T2.AD12","T2",2005,12.7636926374163,1,17,1,12.6898804981144
"178","T2.AD14","T2",2005,12.0038891269835,1,23,1,12.1796356787788
"179","T2.AD15","T2",2005,12.3313182052101,1,9,1,12.0632782667341
"180","T2.AD16","T2",2005,11.2286935433803,1,2,1,11.4013836296783
"181","T2.AD17","T2",2005,10.9455200401472,0,NA,1,10.8978111285362
"182","T2.AD18","T2",2005,12.3374500866623,1,23,1,12.4049381534037
"183","T2.AD19","T2",2005,10.9474919974862,1,5,1,11.0040696068957
"184","T2.AD22","T2",2005,11.520209973862,1,4,1,11.1227536670386
"185","T2.AD23","T2",2005,13.1694336456504,1,9,1,12.8487007234033
"186","T2.AD24","T2",2005,12.2848319698914,1,7,1,12.3053020076787
"187","T2.AD28","T2",2005,11.4904784471639,1,17,1,11.3381041101714
"188","T2.AD29","T2",2005,11.6673676181983,1,4,1,11.602562216065
"189","T2.AD3","T2",2005,11.0488380790816,1,1,1,10.6945558069998
"190","T2.AD30","T2",2005,11.5662073373355,1,13,1,11.4907809503803
"191","T2.AD4","T2",2005,12.6631203902507,1,25,1,12.7418126588264
"192","T2.AD6","T2",2005,11.0672354442213,1,6,1,11.0933302143229
"193","T2.AD7","T2",2005,12.4212450169675,1,11,1,12.394033712856
"194","T2.AD9","T2",2005,11.1105719356533,1,4,1,11.122235302313
"195","T2.LJ10","T2",2005,9.63629752962667,0,NA,1,9.32683488241659
"196","T2.LJ11","T2",2005,9.34607012784716,0,NA,1,9.0047381015543
"197","T2.LJ12","T2",2005,10.1545032606903,0,NA,1,10.1395589649206
"198","T2.LJ14","T2",2005,10.3601572968741,0,NA,1,10.1628246198339
"199","T2.LJ17","T2",2005,10.8855146684607,0,NA,1,10.8001406205261
"200","T2.LJ2","T2",2005,10.055484280871,0,NA,1,10.1238892844643
"201","T2.LJ5","T2",2005,11.028014731068,1,1,1,10.3636334884861
"202","T2.LJ6","T2",2005,11.1656003940206,1,7,1,10.9830487187146
"203","T2.LJ7","T2",2005,12.3779800275197,1,7,1,12.1021936829838
"204","T2.LJ9","T2",2005,9.58515001845972,0,NA,1,10.0458694196875
"205","T2.SJ1","T2",2005,7.94989857605644,0,NA,1,6.41933072578012
"206","T2.SJ10","T2",2005,6.35830602394235,0,NA,1,5.44201529206819
"207","T2.SJ12","T2",2005,7.49328595678133,0,NA,1,7.63801084537828
"208","T2.SJ13","T2",2005,7.56227882826828,0,NA,1,7.50430375452178
"209","T2.SJ14","T2",2005,6.30725139304042,0,NA,1,6.72986958037483
"210","T2.SJ16","T2",2005,7.66774137953662,0,NA,1,8.47033163982811
"211","T2.SJ17","T2",2005,7.05264297263788,0,NA,1,6.35830602394235
"212","T2.SJ2","T2",2005,7.08407843181836,0,NA,1,6.42050337129587
"213","T2.SJ3","T2",2005,2.81870631942107,0,NA,0,NA
"214","T2.SJ9","T2",2005,7.79198582697356,0,NA,1,7.98268839887943
"215","T3.AD1","T3",2005,11.1174811065371,1,23,1,11.1873777505422
"216","T3.AD10","T3",2005,11.7457596342012,1,5,1,12.3746324077486
"217","T3.AD12","T3",2005,11.3977072560166,1,18,1,12.0165074653701
"218","T3.AD13","T3",2005,11.5465452893215,1,8,1,11.3424467806132
"219","T3.AD15","T3",2005,11.167324597004,0,NA,1,11.2060443881583
"220","T3.AD17","T3",2005,11.7841856141319,1,4,1,11.892926235754
"221","T3.AD18","T3",2005,11.891399698439,1,8,1,12.2779018481474
"222","T3.AD19","T3",2005,10.6237988423603,1,7,1,11.0538463579176
"223","T3.AD20","T3",2005,10.8170364650243,1,18,1,10.9222762150277
"224","T3.AD21","T3",2005,11.5833087543561,1,6,1,11.2546064123759
"225","T3.AD22","T3",2005,10.5150166102494,1,4,1,10.2378058376649
"226","T3.AD24","T3",2005,11.8173375177087,1,12,1,12.1899277960168
"227","T3.AD25","T3",2005,11.0870414382431,0,NA,1,11.0439374589934
"228","T3.AD28","T3",2005,10.9696780272786,1,5,1,11.1481570373889
"229","T3.AD3","T3",2005,12.2672121591277,1,25,1,12.4109832552183
"230","T3.AD30","T3",2005,10.5397639987646,1,3,1,10.7148229606018
"231","T3.AD5","T3",2005,11.8099262863662,1,12,1,12.3475004225158
"232","T3.AD6","T3",2005,11.2917516793475,1,15,1,11.1381067015354
"233","T3.AD7","T3",2005,12.0552899304131,1,35,1,12.1322711382211
"234","T3.AD8","T3",2005,11.9131613656686,1,13,1,11.9526042657569
"235","T3.LJ13","T3",2005,8.84283467334784,0,NA,1,8.92506779694305
"236","T3.LJ14","T3",2005,10.3836577146775,1,3,1,10.4623090084952
"237","T3.LJ17","T3",2005,10.3159027099257,0,NA,1,10.3002620213306
"238","T3.LJ18","T3",2005,10.7950575583055,0,NA,1,10.9963680683639
"239","T3.LJ19","T3",2005,10.2890906988916,0,NA,1,10.2515991597973
"240","T3.LJ2","T3",2005,10.968085751059,0,NA,1,10.9329971317572
"241","T3.LJ20","T3",2005,9.31087512919204,0,NA,1,9.14331726618068
"242","T3.LJ4","T3",2005,11.1625092014509,1,8,1,11.5540368017153
"243","T3.LJ6","T3",2005,9.98158214228338,1,1,1,9.91612915403166
"244","T3.LJ8","T3",2005,9.34542420499819,0,NA,1,9.2308324215185
"245","T3.SJ10","T3",2005,6.63228925203596,0,NA,1,7.37192509977706
"246","T3.SJ11","T3",2005,6.90913698232204,0,NA,1,7.00385280846845
"247","T3.SJ12","T3",2005,8.30421617299766,0,NA,1,8.10412839798338
"248","T3.SJ13","T3",2005,6.72257113714775,0,NA,1,6.96937706269939
"249","T3.SJ14","T3",2005,8.46487071578427,0,NA,1,7.83991056486656
"250","T3.SJ15","T3",2005,8.64175221490409,0,NA,1,8.38336141594863
"251","T3.SJ19","T3",2005,6.20692927099781,0,NA,1,6.03758214428927
"252","T3.SJ3","T3",2005,2.12555913886113,0,NA,0,NA
"253","T3.SJ5","T3",2005,7.65845443434904,0,NA,1,7.91599702438076
"254","T3.SJ9","T3",2005,7.40931791657661,0,NA,1,7.70150824200744
"255","T1.AD10","T1",2006,11.5353265355342,1,2,1,11.6414798248639
"256","T1.AD11","T1",2006,10.285036666406,0,NA,1,10.7940963966758
